,ID,Popularity,Duration
一生不變,7IrSlN77xI6xX0vYtmQl6L,31.0,262280.0
喜歡一個人,7mlkDbBgvR3Udt0PdTzYdm,34.0,273413.0
我和秋天有個約會,5maHBgobodWEVpiCf56cum,31.0,257173.0
用愛將心偷 - 千王之王主題曲,1M9YBYsIaSR0JtDylpA2vh,30.0,203267.0
難道我還未夠難,6LOP8nbFXFydvDELLs1uss,43.0,260398.0
Hey Hey Baby,2Mh7XNWkAXgEjBXSskgUyD,33.0,139186.0
我不適合聚會,7kUMzPwkWFGI26b10nDQax,32.0,127078.0
男人不該讓女人流淚,2v0GxO8gI4lB19sLOQstts,38.0,281400.0
"投降吧 - (劇集 ""名門暗戰"" 片尾曲)",02gShJ5KSPODMuAxJVB2KO,34.0,283371.0
納斯卡線,3wqMvfQ9QgIEyRHH41Y0Iq,36.0,225109.0
我有我愛你,79UZYJeMCwNgUxEyOxZgSr,36.0,178019.0
盛夏的舞,4b9mXrYCb4YlX7tSj1RlHe,39.0,246500.0
假使世界原來不像你預期,4UfEoZhydEepAaggFcRf3e,38.0,271800.0
94340634,7dD0TE4FrC6vm4QPXjaiTj,37.0,216520.0
勁歌金曲,4i6Sg1Ut5f83mbU5Vs04Gc,34.0,638266.0
黑洞裡,5ivG1JS4E1TOIeaSqAw3mb,30.0,213586.0
一格格,3P760ZZZtr4D0tAYPfY4db,29.0,248347.0
千千闋歌,0LnDL7xmfhHflYauaVF7Bw,22.0,297386.0
"本應 (網劇 ""黑金風暴"" 片尾曲)",4YPKa1SZztP4wASyvNSISj,34.0,255840.0
螞蟻,3j55j3jpiaVk8ryFvYVSTF,35.0,230893.0
熱帶雨林,6gCrpsRXkqmSDBooEh0QAk,34.0,258080.0
四喜臨門喜迎春,5orxFcDtMxE7tjkP1Qu7Gl,32.0,339213.0
朋友仔,6olFYyK4iclxZigSeWAHON,32.0,192786.0
我恨我痴心,5SpQEMkXLAs0VM8MVdZHU4,31.0,251933.0
男人 KTV,3fiw1lkZ18un8SaUVeW9LN,33.0,289413.0
有天 - From THE FIRST TAKE,1Qc5ibrjJE0HVFXMs9T1io,37.0,257558.0
我在流浮山滴眼水.jpg,5x9Clj56YLmklm3Zikx2iF,40.0,255805.0
掛住你,5vBbBbwgzl1SyLBNcBTHvB,33.0,251106.0
萊茵河之戀,2mIiOyFTTdRjFMZ0lI39uG,28.0,171316.0
那陣時不知道,5dHDpwbX3TnK42Fu7x6jaP,32.0,147188.0
赤的疑惑,5OAGIkaqmhS9BDyUT9QD6B,32.0,200973.0
聽風 in D major,6nfEYJH79mSjxsaesFBY64,40.0,196912.0
偏偏喜歡你,7zYHmQvY8RKsipuCPfpOUr,35.0,238253.0
缺,528HFTQqdaMOf31jDTgkGt,38.0,279453.0
如果時間來到,31v9DOjbdzljEPiIcDYEtI,35.0,226028.0
世界與你無關 - Acoustic Version,6OMVP0bYGhLGTp1Mvl3iOH,40.0,245000.0
我可以忘記你,3W0iclHI0ka2S2fsSC4kE7,38.0,230019.0
黑暗中漫舞,516DXU8sYL46s1HQE2rx9r,33.0,195294.0
我不是邱比特 - 合唱版,7a5H5JmdnH6RcdiQukPUAd,38.0,240000.0
哀的美敦書,2mh20y35EhzqMy6su3sJJA,39.0,269254.0
那邊見,7sFMX70IkeDA7O9zM6qd9l,33.0,253040.0
合久必婚 (合唱),5QtzuJvDKdsHD9Af2QAGIg,31.0,199080.0
喜氣洋洋,37nn6fKtf7KG93ePOOj3Xd,33.0,203555.0
天使的禮物,5bpyVkYIlIGPECw91t64cn,36.0,204093.0
MM7,71zkB0xQxcF1Uq8F1ZoCqC,41.0,240697.0
夜半輕私語,69ihMOWwE7yop8JkxLuwa5,30.0,209426.0
今天,054rsik6MzETq8xRIGJ6Nn,31.0,226666.0
小小蟲,019yr0vrtpjvd5TFrvqcDC,32.0,240133.0
讓一切隨風,27WAidWzCb6ycmOYov5U35,28.0,246093.0
"最後祝福 - (劇集 ""好心作怪"" 片尾曲)",2yMIpjENRNG5EEaxfPJx5y,37.0,253015.0
分手總約在雨天,4F58voptx3uo1bNiJ6i1P9,39.0,247975.0
天意,3nfI9BZJQCLYZCDeK9vANR,34.0,271000.0
情書,4PglJYFkl24OHKe1MogJfh,34.0,240266.0
