,ID,Popularity,Duration
The Wire,6golelYKuy85o3u0cxIxFK,54.0,245293.0
Papercuts,1uAkU42SNZn4PlUFrS8zmg,57.0,172654.0
Wolfcat,1Hu2OypX8tMPwBcCUaAeO4,56.0,174221.0
sheluvme,6QPsWusy5itp7ip1hW7QNa,59.0,150840.0
Crooked Teeth,1crbFuCkGL4kXnAGd63RXq,52.0,203733.0
called you again,6JHwXVyjq2SYY7mVqgpTDj,57.0,192757.0
On My Mind,5a7NdkF09AfD0H607eiOkX,61.0,213445.0
Joke's On You,2D0FX6WiP1GKGL3yCdXxs7,61.0,184658.0
Slide,6adAK9A3HRPGTKAYs6zbIQ,58.0,60905.0
Space Ghost Coast To Coast,0RZLmpEzGR2NHite6rvS5H,56.0,187383.0
BS,1qxZswAdBvM0JMUoV83J1b,57.0,133986.0
Talk It Up,7FQCZ5i5bmQ76LoGHyVcX0,55.0,238480.0
Summer's Over,20pi3c6HXmaEeElCswISpD,56.0,173000.0
Suicide Saturday,0scQIzgcOhnmfqfOTpRUFH,53.0,212885.0
Dead Girl Walking,5L5N8YOsBxdzR9h9sudBgG,59.0,204613.0
Cause for Concern,37g2UmgooPOi6TvyRBiOA1,58.0,202000.0
I Don't Wanna Talk (I Just Wanna Dance),2xXPVOKw75Ouju8Qu4SdIA,61.0,195190.0
Out Like a Light,7yR5ZDif2glYMnFP73uRMm,57.0,256018.0
Hollywood Forever Cemetery Sings,3O30ywyRk6EKT68sBvVqOP,57.0,190613.0
Seeds,6S2Uha79wlOXCRlDOImZkZ,58.0,251269.0
Crybaby,61a0LXQA7wJ64CGzttDaN9,56.0,190927.0
Dræm Girl,6lbLn5iL2NBJnbib7bTXMn,56.0,234606.0
Only Love,2uhEKg8kIzpdvz4gyy6x8W,66.0,249173.0
Satisfaction,0hZIaQMGqu41dozEwqVa1b,59.0,130981.0
Oh shit…are we in love?,4BIuY0oEopXizyP3WvkNrT,60.0,155384.0
Jonny,5tuBenbZ1Or9xENTyOKoGC,54.0,226506.0
Easy,58dSdjfEYNSxte1aNVxuNf,61.0,314357.0
"Fine, Great",3zb6SWbtSON0DGs7xPibeY,56.0,148047.0
"Prune, You Talk Funny",3X8fDZL2mX4bz39SWWCl03,56.0,212701.0
Still a Friend,10goTnuQ31YxbdBBwSx7zt,54.0,191601.0
Easy Lover (feat. Big Sean),3nwd2gUT7l10HDUAOKXrhs,63.0,215937.0
Wallflower,2mlCfcprMj3aOUX2uYuQEE,58.0,177498.0
No Interruption,2yJVeT8cP1zstJxRP7Nlv8,56.0,215240.0
Eighth Wonder,7BxJz17EyAHjZlHEEqrtm6,57.0,282126.0
You & Me,7yCqehT9dKACTFy7YugP0J,57.0,218493.0
Surprise Party (feat. Blackbear),5UiT4e4DHwZrcVIXojU5um,57.0,188039.0
Black Mambo,63OC8cNa4ZnFB3bbvbWCOc,56.0,248920.0
Introduction to the Snow,7qLs0IyUn6TrqgMzQ33SdH,56.0,101007.0
YES MOM,3imd2WJDPDoIOyqDmw3plc,59.0,162360.0
Vines to Make it All Worth It,1OyKSBvrtyy3LczOQQagJb,56.0,96386.0
Out of My League,5qEn8c0MBzyRKgQq91Vevi,61.0,209386.0
That I Miss You,1qja4itnsquIxIofomg2PE,57.0,140116.0
Chrome Hearts,6Crq3yX0pUdMaFAd3t60gH,61.0,81584.0
Like 1999,25gacl0dFF9HTclx7Ug7xC,64.0,144742.0
So Much Wine,4ZPNGLtydYARKP681L3TAF,57.0,243600.0
anything,4PwWESSlTwzvw9B7bmtTLS,56.0,202047.0
&,2vzbU9nlpIMYxlt0FucOHi,56.0,194586.0
Tongues & Teeth,0XSOLgNqtHZgEEaQyoQctR,56.0,221013.0
Constant Headache,6baeAT0jVAxvnLn8rIN50X,55.0,184306.0
I'd Have to Think About It,50lUr1G0TYol01m2RlqPzZ,56.0,150141.0
watch you sleep.,6tMwheKgpMHBcHtr8aYMn8,60.0,180225.0
You’re here that’s the thing,68SSN8C0cJmUEXJkGyNYqe,59.0,198600.0
That Funny Feeling,30y5OpD8TPAru2wsyZDD4S,58.0,400565.0
Rom-Com Gone Wrong,3JPykcDhUA7DMrxN6eXzQ4,60.0,205836.0
anxiety.,69nR37Z0U1yh7W6KUlTHJ1,59.0,156794.0
Crystalised,33R3swWziWYmnDYvZqcZVS,54.0,201946.0
All I Really Want Is You,410rGaFDJPwjsr9m9RPCkz,56.0,191800.0
Since I Saw Vienna,0tPAksKbZTl8VLslZErQnE,58.0,147683.0
Eloise,3XnDbrxxtA40HPIIRWLgRT,56.0,168712.0
Water Your Garden,0CVaDx0YP1nMwZd1eg88cX,56.0,169333.0
warm glow,0WSPIU3Y3bNXsGeKnzSnt1,53.0,358870.0
The King,3qs1ozCx271UQqmzC7oNuj,58.0,206373.0
It's Only Sex,6dtPJwNdLuyVGPWyHOI6GP,57.0,283000.0
Do It All The Time,14ny3vlL25p6Vix2Sb8k1b,59.0,167803.0
"So Close - From ""Enchanted""/Soundtrack Version",3XFkhxO5jo2hBOWNzIQ9UB,59.0,226840.0
Change,1yQkAv4xtapCBCzI8q1QGF,56.0,177641.0
Here We Go,3WMj3VfJhsKO6KcGy3ddDb,59.0,190017.0
Animal,6vSq5q5DCs1IvwKIq53hj2,56.0,263426.0
Talia,53jbdPQBaH6WaQvW0zmGBs,57.0,207720.0
Antidote,1NlGXcWeUSe1s3IgRKcqmB,56.0,169822.0
SAD (Clap Your Hands),22jEGuVPtvtMqKPuXdOVCh,58.0,152202.0
Backpack,3klGMf53kkJd2mS86Whc8G,24.0,177093.0
The Walker,0Nk7bSn0MItonkR0GNs3mj,55.0,233133.0
