,ID,Popularity,Duration
ミラーチューン,0R8JLNP107Hr7V7lL9oh13,56.0,249273.0
Granny,2bd5OLLqIiE4BnU7Wi52K2,39.0,235840.0
"Someday, Someway",7dQ567w1sgimjt4r3l56W0,38.0,171946.0
Little One,5ctXRM2qn2f8abTzVAWA9U,42.0,209786.0
And Then There Was You,1Yo6lvTsNozmc9Y9SA275E,50.0,185586.0
A Place in the Sun,4YnVmuI7f19apOwrQfPt1B,45.0,232913.0
ギラギラ,7D7GCO3CtDT1WDcj2W5VDV,55.0,276213.0
秒針を噛む,4HgsPAX3MmMgIT60hJ4W4U,55.0,260800.0
Paranoid,75fvRZNH5rZ7z99ib3hAHu,48.0,211933.0
To Love You All Over Again,4EPwpBN0t11bIxjsAI8oaF,54.0,237800.0
It's Beginning to Look a Lot like Christmas,3SwZekRsxV4zUSBHc3nlRz,49.0,207199.0
Silent Night,6B14wYcEpWhyDvxWRb9Df8,40.0,227520.0
Why I Am,0e41JO783atBDzFyMdyHoK,39.0,233533.0
グライド,1i84eCrJbu0EIP5aWToMMa,45.0,220240.0
The Christmas Song (Chestnuts Roasting on an Open Fire),3x0wbrv15rqDu0cmA3HGyX,47.0,260095.0
"No pain, No game",1HUgqhTeOMW7IUm5G2a2dR,49.0,202873.0
夕暮れ,6yISfdj2mq1q9EyPGgnvO1,44.0,331546.0
All of Me,3ts3nBCGF7K9JvSjWVQfX8,49.0,187853.0
Motherland,4mNbJClAJtuwVnBIRlMYJB,47.0,260066.0
Slow Wine,4Gul1VGYVv9b3tLPnrKMIK,41.0,289173.0
You're On My Mind,7vLSNm5RxPbdn7IjX64s7H,51.0,258747.0
We Might As Well Dance,0kPWIQGElJzq2p4BxvFdai,50.0,194309.0
Dance Alone,3W6lncbObIfLDqjhpyKQlJ,42.0,196000.0
G.H.E.T.T.O.U.T.,13XNjh0UY5LBsICcoHUdxl,43.0,264960.0
何もきかないで,1TVytW8KF6lq6yFtJze61w,46.0,191760.0
三原色,3FUCuf498nFHJXFYR1V9Bd,58.0,224066.0
7-seven-,780QeWn8OYJXSqpNTgt5pY,46.0,258906.0
Sous le ciel de Paris,3IyikwjDC5J3RO1z1xbyIx,51.0,200173.0
Koko de Iki wo Shite,7LVsLHXVLscS5xY7q50TLT,49.0,216672.0
I'm All Right,5BLAxhcAJj0CSYhrEH2SfF,40.0,207693.0
Last Summer,7pxRBbUWBcVoTWi3MiFl6V,49.0,172551.0
The Way You Look Tonight,4YzVZ67bjyhs1BylmBZDzx,51.0,182508.0
Hook,0ZhSQIDIv0CWVc0Vt1aiBm,41.0,288506.0
Blood And Roses,3wbLj9Rd3YBZzKRDxC266o,38.0,216826.0
I'll Be Home for Christmas,2PyewGjlnz9oLgsbwnQVB5,47.0,267608.0
Brooklyn Baby,5KSvKQn5QPkHc8QqObqZcC,41.0,214748.0
Believe,5Wg6U4mLyjJj8ApPkWHBKB,53.0,226700.0
"Falling (with Rodrigo Amarante) (From ""Norah Jones is Playing Along"" Podcast)",5Uy2VG17h0IviBCRkvaOmU,49.0,247240.0
コネクト,3DZG4wc2NQbgjR2m8iXpG1,51.0,270040.0
Re:member,1hoQxGi3ujVYUzQDhXfvkN,50.0,199560.0
KICK BACK,5PA3UIrEhG16UoQIj1fvlw,52.0,193493.0
I'll Never Not Love You,0LJIVYOer8mlCmTrKoP9Kh,50.0,218390.0
That Girl Is You,3W1FUFK0mLvXDYRT0YGaiT,39.0,196880.0
Surrender,7Kp5L6Lzxp6pSXqJ7vlWz2,42.0,316226.0
Santa Baby,6DwnAl6l63e83dDgIzY8P4,40.0,231626.0
You Don't Know Me,2oqZBBjKNMfl9sdhnvCYgB,40.0,253973.0
Tyrone,0axsMumJxKRTuYCMb9oeWl,44.0,312533.0
"""Seishun Sick""",2PDtvT5DEamQTM5qeiTDsR,49.0,324146.0
Love is Show,1wPOJ0SBOqbrs8Zw7wte88,50.0,242027.0
Hard Knock Days,3TKn9Pimpg49NboyPo0Hhl,48.0,272773.0
Hard Knock Days,3TKn9Pimpg49NboyPo0Hhl,48.0,272773.0
Kizukeyo Baby,3EEaEEltAaQAp0EhIwJEaK,46.0,253746.0
me vs me vs all of y'all,0t7VlVRdaVBqH1p1UIPcrV,43.0,179506.0
Life On a Chain,0Vx453PGDgPnTCJuVMQXXY,40.0,227346.0
If Only,4HREgaJwditqnnb1hZPHWH,39.0,338066.0
REVIVER,1p6WtbNY4bDjiFBmSZolJY,50.0,290400.0
Weak,5mbODTX3uNkpNk0d76wG60,46.0,292240.0
REALIZE,6KlqqFZmbUrpTz6RSC1pqF,44.0,244000.0
