,ID,Popularity,Duration
Perfect Man,115a4lQhDJGnu4QVSa8bUW,55.0,205000.0
Love Season,1cPx0CdoN55jpm0Z7hG4Mt,49.0,226905.0
Multi-Love,1XKAeevAbxSSMuTcRT0APS,55.0,250800.0
First Class,3os9JEuXCDI2u8uoKi0xPY,51.0,173947.0
Zenzenzense - movie ver.,2DLrgv7HhJanCuD8L9uJLR,60.0,285880.0
I Love It,6CBA5xTE7Z4cyA9rzlhFdA,51.0,216559.0
CRUEL,139JUU8fJkQoeHl9nABk9C,54.0,211426.0
I NEED U,1GunnGtZCSjLUAPG6yrDUC,58.0,210986.0
Stay This Way,3pqgVtpnQbBAZoWT4AEm1B,56.0,195653.0
Free Falling,1t2fPE8rClkb0ZACu26ebN,56.0,217207.0
BOP BOP!,3FNuG1PjKcOu7tAqZKB4kZ,57.0,219933.0
Lil Secret,29SR6SFfjQJoddfmimHbQh,52.0,129565.0
긴 밤 (feat. GIRIBOY),5YAO57ujV1cs5eubzyOL1E,53.0,210853.0
Superhuman,4baWaXmm0BFFT3Qe3uSvs9,51.0,237853.0
ON,0U4hNZFJYNFdEAXZcHbkkc,58.0,246817.0
Dreams Come True,2GyZkPeiJXXBqYY1ddtsjk,59.0,204933.0
그대라는 시,56Cmy1rCQ35V2Q7groYiHl,62.0,209482.0
Good day,1SwZVVH9BnXtLRLi2cbFhw,59.0,233586.0
嘘,0ODOmKxO0CKv4DzoP3HHIC,55.0,205973.0
Blah Blah Blah,5wOWpaKW92jhcm8pBOlrdR,58.0,186573.0
Outlaw,7ad8cTZkKU4ftlATRGve3M,56.0,211453.0
State Fair,0PyJRNmJvJJ5OmffwQf5we,51.0,194526.0
Darling (feat. dress),0vVVMt1bmd7K87IstridSS,55.0,254955.0
Utopia,3OnnEFB9kauV7O20nOCWpg,54.0,239066.0
Bonnie & Clyde,6IFpwncCkKrXHyP0RuG9r6,52.0,224606.0
Mixed Up,6S0By3u06ttb3kU2XEtWnw,58.0,183259.0
無限的我 무한적아; LIMITLESS,6m96zMB8BrLrpyT7NvApxB,55.0,247467.0
Violeta,0Qzs7eyyx6Il1qkA4wqUHm,57.0,200912.0
ROTTEN (feat. EST Gee),15jg4vt123axobdGleLugn,50.0,190962.0
