,ID,Popularity,Duration
從沒去過巴塞隆納,2r377lAcOV46RkP8q0fMf3,42.0,273597.0
蝴蝶飛呀,4ADhzINVrX053tN4xVIjh1,38.0,274093.0
我,6JIysoFg1r4BNVxGFJxNkp,45.0,246688.0
郵差 - 蝴蝶 廣東版,6jOiD9tpPliT1PUspv62FS,36.0,258333.0
盛夏的果實,1pgF9ARRXIBJlhzQ0XqYdK,35.0,250795.0
忘記你,5BnolSndlx5zoY6AtqCFWZ,39.0,173000.0
GLORIA,6CnvWizSE8b1xgJAu427uB,41.0,244986.0
行星,2Y8ASbA7bbOMp3PpKRcu54,50.0,323000.0
雙雙,33UKxyd5TTGBrQTsxOsLAf,42.0,236933.0
香草把噗,6sN41XUlsx1eRpvspeTLsf,38.0,227160.0
毒藥,5VymCvfV0FguCa7zrIPSgk,50.0,205218.0
戒掉你,6R0KyLT5BUq3IhtkOLDTDK,49.0,222750.0
初四阿北 - 大人的煩惱版,3P3znCGKbb6RSaVgFsz4Fl,50.0,166436.0
最嚮往的地方,6jMIzxLw7QDtvfo9XYFjKy,35.0,232783.0
當愛已成往事,7L2wwkzaowRaDWs54I91sU,38.0,280163.0
浪花一朵朵,4z6Pu6AblxbQ0bFkOYkGK0,40.0,216523.0
曖昧,4fk5DpvG4qZBUVtK4DYn4N,40.0,312214.0
有一點動心,1WHfB1n5vcuPKtAzsCCKHH,41.0,231840.0
孤獨患者(國),2woOC3CRkSj2Mac0mazL7b,37.0,273466.0
陪你去流浪,36G5RaJA3nctN4dJFDSB48,39.0,274363.0
一個人生活 - 幸福蛻變版,5Hi3Xlpda9VnUUIgfVZAPp,46.0,285137.0
夢裡花,7wiAY8rXrRTOnJBWxmngAM,38.0,216386.0
心有獨鍾,5xO62o9Ub8ewnOQjmVpVSe,44.0,274293.0
我在愛情的盡頭看見了你和我,3dEXhWQRe9jPXEAh33ppuy,49.0,265654.0
句號,1mgX7SIBVjBCqiLCMEl15W,41.0,235632.0
也可以,3dAi45j46EoBEd0UVoalcf,41.0,273266.0
愛情懸崖,0g45bXWzbqWWqhLbB2YYTi,36.0,262213.0
五月天,1S0PhR401vBaAZp2B7Zx0d,37.0,232506.0
寧夏,6oUC0SXCxnjYl2HyPat8lx,40.0,209655.0
對不起,37Xjeya5eNFNBJ7HWSDwVE,35.0,225413.0
到此為止,5dUshocB5ykBkSr8jtMf7p,42.0,220893.0
HELL,62fXwOTzc71wLw5sB0EDiR,41.0,248285.0
對等關係 (feat. 張惠妹),0mGNDAW085Jkn8IbEalZG3,43.0,327228.0
破繭(《鬥羅大陸》動畫2020年新主題曲),2cUFUwp0rNZFPj8kQouMPA,40.0,211525.0
我喜歡上你時的内心活動,3Sk5vML32xkCFsysfuvNYl,40.0,205973.0
老伴,0ZkGfiak81jTWoxoVJhtls,40.0,208640.0
Slow Ride,2R3k6vftnrEdDquLaRW2NV,37.0,181244.0
怪咖,1v8RxIy8mbxGqBaWG2bMrW,39.0,250491.0
命運,1wBQPw5ZGERNmt8iQ9ltEV,44.0,227487.0
睫毛彎彎,1vFGwteJk3i24kHw7vtaXL,37.0,244933.0
在未來的你跟我說聲嗨 (Audi 引領進化主題曲),1PLb3TUyNPiHirPSJ2il3n,45.0,270624.0
違背的青春,2COakZQAl41g477nflNl0B,42.0,336797.0
最熟悉的陌生人,7ptLu9jaGwjeJCYItMK1LY,43.0,262413.0
我在人民广场吃炸鸡,6cGoIcNMDyXWtrOaPQniM4,39.0,214040.0
蝴蝶,488POZ0bB10TULhedwrt9i,35.0,283200.0
不如不見,781HV056pGqCwBx0e969MF,35.0,249666.0
一眼瞬間,5Hm71iOLGamb6uxaIuVKcJ,48.0,356866.0
陽光總在風雨後,0TJEnVgfa4kKUxbtSIx5fm,37.0,303000.0
新的心跳,6vkny5qf1RBUBgl8TfyrY3,41.0,217786.0
聊表心意,6neUcYRtTMjTwkII0utdhO,40.0,317425.0
彩虹,7IsdzMn6y2yGKuWOjpVL4l,45.0,263866.0
我愛你,6CKLOHuoNU6hfAxlQVzRlL,44.0,285080.0
七月七日晴,5LCzuZv1gkHsXj6ZY1ugQ4,40.0,244973.0
忘記你我做不到,6wBE8viwdGideK9o3uly7U,41.0,295000.0
愛*轉角,1TFGynJGpBUBJBoH4AO26g,41.0,293933.0
今日,6cky0d8XS1WF4fS8HnKqgZ,42.0,271093.0
黑暗的盡頭,0n6Cn6pByPTwBkMTw7KQkX,48.0,290823.0
有福氣,1tcSTCEHS6VV6FqkZgA9mV,41.0,191493.0
落葉歸根,6jQxLsqg2ybACXp7sYsvyZ,40.0,315226.0
方圆几里,7Fw2TuEetV4rvDAkYabf5p,34.0,263627.0
爱的海洋 (Love Ocean),5wLe0h3qf4FIZo3cKDs87s,36.0,226133.0
還是覺得你最好,665g6sknCH2XQgoWqSJUuL,37.0,320226.0
旋木,0YNBZKmzePAF350mY8QQ8M,37.0,253120.0
寂寞边界,5fc9bh97TSqSK9SlFf5fUS,50.0,271506.0
愛久見人心,6kMtvUQldyNcNMMUVo9ZvD,43.0,296573.0
摩天動物園,4BS6PFxtLxMwJB855VGDO7,41.0,270676.0
我的快樂時代,1tFF8EMjMwQ6FoXmFMIj2W,42.0,216760.0
祝你一路順風,3kXv4SfPTDPtEfArbT3idk,42.0,257706.0
ALL GOOD,5YpaIzdJs9CkRBGN8FyL13,49.0,164755.0
雀跃,2Tyt5tFE7X5JJsBONA239g,42.0,232691.0
有你的快樂,4pjnn28AE1GvrklrJFWuib,42.0,195880.0
搖啊搖,1b61qgCAPGB8P718XtW5VE,48.0,218801.0
K 歌之王,6hpvgQANW5IuKR5gDpdEFH,38.0,223600.0
剑魂,7Cf1qeEO3IhmN0WvXHvOf5,40.0,214838.0
外婆的澎湖灣,2q6eeMRQTUDyZmT3rM5QaY,43.0,185706.0
阿牛,1PwnLoYB1sJQbvmZH8dSEt,36.0,202040.0
傷痕,6g69a5Dvw5OHOlsxmeIOz0,40.0,368160.0
被人,4HmLrmiCexGQTQ5kpmoPsL,39.0,248160.0
粵語殘片,0kmu59SIGcdTRuIwJrWB1R,35.0,276146.0
Room for You,7cPHBvwlYS0sd7cydYVadk,41.0,207743.0
暗裡著迷 - 粵,1mz8wBA1L7JeIbOfId9Pjg,39.0,228840.0
你啊你啊 - 電視劇「用九柑仔店」插曲,4nyO1azSuhT5JrETvzEahs,47.0,326226.0
取消資格,3gpXOtmPQmQD79J8L4WjQz,41.0,252733.0
依然睡公主,6qwcAUoxaqLlS0xTGpDhlS,42.0,160708.0
至少我還記得 - 天堂的微笑插曲,5HsNeCFW47iV3YrBLnQk6j,45.0,304800.0
小薇,1GtHVck6KPSd21Km4K2A2Y,42.0,196733.0
倒流時間,0vrLUOZBlfezUK7k1rxmsw,42.0,188397.0
好想好想你,13wcq4v3Ys0kS8fOMdvZpr,42.0,204140.0
身後,5niImrS3tokLyQ8uHKswt1,44.0,266557.0
你不在,1wQWWFjRA0BxpkTCsOFqYv,44.0,273941.0
撕夜,5TYmQykMrwX6eDxTIQ6uBc,41.0,275849.0
你是我心内的一首歌,17N5sJg46rDPKCGj0pKhGl,40.0,166693.0
愛的呼喚,6mn3MOnUpXYEIi5qTRqAik,40.0,233373.0
难堪,0QDHq2JoM54iTX016iPXIN,46.0,190000.0
改變自己,38upzV6z7t9UmMNg9WFvsh,37.0,195760.0
神話.情話(粵),76AjXOzvCauY58DAnYP0Md,36.0,266336.0
你敢不敢,2bkrZWJ7JRXPOal7pWiyDO,51.0,235760.0
給你們,1cZS5NwRR1i9l8xTl0tlMJ,43.0,287840.0
思慕 - 電視劇《三生三世十里桃花》主人公人物曲,1dzjpGsgLNM1YcYlTA7qHY,39.0,307284.0
冰河時代,5wavgUwXeiMoFal1h1AC05,40.0,210785.0
Soufflé,6m7h2pLpDVSGFFFfFBS2VL,42.0,190932.0
曲終人散,1cai733WXBRC2QjvsXqqBC,43.0,270000.0
我愛過你,2cQ8HVDAMdA9BxzbupdnC1,45.0,302731.0
敏感(LH x Z.TAO),4yOMpzImEy2xWT5e5i1cAD,37.0,229991.0
玫瑰色的你,7HoICc5j4GcwXsAPvsfCgo,38.0,297813.0
遺憾,1iDQ0rKPkk09OzBhXOltmg,42.0,281640.0
與我常在,5X9PUq1OYtu7GkLcfLyF44,41.0,242666.0
白天不懂夜的黑,5aHDLo1MY6y15fWz1BfK2M,41.0,243493.0
寶貝(In The Night),1G9KctNOyAM8wMkCFhR3EZ,47.0,161173.0
法蘭西多士,1ylByPhQOYyI1zvGPr0vUE,41.0,254305.0
黑色柳丁,5Z0ryqjwAa2ey9gaMPsB8J,40.0,255266.0
Something about LA,4ijVXVyhXX0tYrEUh3iCgt,41.0,171265.0
我願意 - 管弦樂版,0tlDH6UX4Bq9kG5rPWaiaF,40.0,270666.0
離開地球表面,3atMvzG17OeBIraVLdSLTW,43.0,275213.0
天下無敵 - 電視劇《雲巔之上》片頭曲,7CuydJzYfBgeLy64E1idVh,35.0,225405.0
灰姑娘,1Og1e0fnFgZpa0XiBv6GzE,39.0,214200.0
咖啡,4wAQNEaBL1PY2cfW9FFQhn,44.0,246320.0
時の流れに身をまかせ,3uRFRciGWo6zWEt2BRwFVe,39.0,249810.0
出賣,0wCacrsuj2XrAqMtxL36i2,41.0,232773.0
HELL,3KYs6A8fOWMEX0sjYxA4gY,40.0,248285.0
無別 (動畫《天官賜福》片頭曲),1RNvGkX2bzB9TsenY52fee,37.0,257234.0
原諒,7vDAYnB1WJglClYMAidnD8,38.0,255706.0
雨一直下,2qR3vdtESGlvPuiKj7BtM7,39.0,290306.0
飄洋過海來看你 - Live,1wmLghW1iAYsM6PfOdJGGV,38.0,255839.0
无题 - 网剧《山河令》插曲,6bYgy8bMtK4maFZfrMjjKU,38.0,278868.0
Home,3tyvQeVxjEAQlgczaaoN3Q,44.0,237887.0
那是你離開了北京的生活,3ym3V4J1nOHvP1BwwJnK63,38.0,268402.0
連輸入法都記得你 - 《HIStory5-遇見未來的你》LINE TV片尾曲,1cvXawBqcyifKuKD2IdQpS,48.0,267810.0
流年,7wL87unK7Vi96HM0I5vgB0,36.0,276973.0
玻璃心,4SQxzEwMRZcLl4XSDoWCL5,44.0,238145.0
家家酒,6mO5fCJKvB9tr5RAFvBO7z,53.0,273405.0
我愛的人,4OHaQq5eqpRgCqgVY3MpQY,45.0,266333.0
悄悄告訴你,7j34mUd15g3RrhZzVx3CgB,44.0,136706.0
刻在我心底的名字,63UkGQq18KEM46MsAHlLwd,44.0,320143.0
你的神曲,0YgeOKbm6RmVoqjnzR8u3J,48.0,210222.0
月亮代表誰的心,5zpEPwbPcf0Kl2dEyw0T0A,39.0,204986.0
很愛很愛你,3QGCfNhrkC1H55inex8red,44.0,283000.0
你怎麼說,1jJrx8IKact3kvA8riEcUk,40.0,201973.0
執迷不悔,0Vl1CmN59g8BendFIGTZgY,39.0,267826.0
LAVA!,1XXzxzR2K9ni3ff82hS3hc,28.0,201948.0
日出時讓街燈安睡,6Q33BDTuftrNrnmbirliwQ,42.0,269904.0
凍結,78E40DUsI511l4qx1ZALBx,39.0,287080.0
少年,3vOK2dR3jjo1JhuyggC3ug,43.0,253240.0
醜人多作怪 (《新斗羅大陸》手遊半週年主題曲),5nVrrh7PIybgCb7SoM5IZB,47.0,257471.0
十萬毫升淚水,2mCSqP0xAkWO7N53OnHRLk,48.0,260958.0
小手拉大手,4YfDticlwW58vBTV2OB9Z0,42.0,246560.0
蝸牛,0QJ00XF8jm6b0mklxG51ad,39.0,238893.0
我會好好的,73HYWlN3OO01k7sGN3PjI5,45.0,270533.0
致愛,6fLNycJieawvLbND9UXoNQ,40.0,193373.0
孤獨,4blXmxKAgbQwMu3A6jVdEF,42.0,230830.0
沙灘,1M54Y8kZqO2kx8Qk7nSe4B,38.0,239626.0
那女孩對我說,0G49jgMFxj5vrvcW5JuLWK,36.0,271320.0
致青春,2n9r8QHPfShvUfoN1uDoVc,35.0,193584.0
街角的祝福,1M5MN2PnMtf7YhnqukD4xa,48.0,248573.0
許願,0zxMKnnJ52kaR1QXSRrJRU,39.0,279440.0
笨小孩,1HJHLL8H9EoiIBeShJhMkC,40.0,241333.0
致明日的舞,4K4giRULEibP61XuMsJJRd,43.0,210724.0
再見只是陌生人,0K2UkduBJxjuNYLOFhpwHB,48.0,251690.0
說太多 - 周興哲〔Odyssey~旅程〕巡迴演唱會主題曲,6VQxMlqVst4NuYFWstQyls,45.0,154108.0
不是我不明白,22Dglcz1VwyXTCEBt6PIdG,45.0,281573.0
Lonely Christmas,5cLcSZ4ZKWrIx4GJgVA4Uv,40.0,280840.0
無眠,0YwbtJsL5CMCnOJUxVJimu,47.0,226453.0
那些年,2MwjcKcekaSQyecQVkmGEw,46.0,371080.0
22,2X8dqN4Jd4A7vnh1GHzPk0,38.0,261906.0
遙遠的她,7bPCumVyC06rDKgTiJ5BMX,38.0,257546.0
