,ID,Popularity,Duration
Ek Hee Raasta,34R3f0YG5o2u92g5QQMsaM,47.0,71472.0
"Jab Koi Baat Bigad Jaye (From ""Jurm"")",3xmOPoqoc77SlEIcmhoQK6,53.0,480813.0
Bhaaga Sa (Remix),1iHdlwV6sVBo4Qwg2TH6x4,2.0,231812.0
La Ilaaj,5uYHDSKVHfHxBLgYf4H6SH,54.0,264915.0
"Panghat (From ""Roohi"")",2g8fA9Ijc3sAlfkQFlYxsf,50.0,179418.0
Anbae Anbae,5FfRt0NaBuDIHpRgsiCkWu,55.0,332428.0
Slow Motion Angreza,0JX7Es2j556FwtR6YqMKzP,53.0,260506.0
Jo Bhi Main,2MmAYegcUty1DmG0Gw7AMh,53.0,273500.0
Emaindhi Eevela,3E8mVTnCMmXJNq6Pbcfkp7,54.0,319686.0
Likhe Jo Khat Tujhe,6fELo6r2QW8FbBHdn8BiFd,39.0,132571.0
Evare Nuvvu,7m64tTau2Rh6hzVDA1oV6K,57.0,250866.0
"Koppamga Koppamga - From ""Mr. Majnu""",0Z3zGNsygprNlSMAX6vAvc,48.0,274158.0
Tauba Tumhare Ishare,6kzj1MWS5tFsoOZUz4c8Hc,54.0,316360.0
"Dosti (From ""RRR"")",2OsAjPo5sDkTgaRMx6fRHg,47.0,340415.0
Aisi Raaton,0RSGPiykniIg8m7JhiAVv7,55.0,218930.0
Yeh Dil Deewana,1dZuiEX0EjvQai3N7BlUmT,56.0,426400.0
Dholi Taro Dhol Baaje,5MHqNesgY5VngoCITqsZGh,45.0,375293.0
"Dilbar Mere - From ""Satte Pe Satta""",639ixB8fp37Bik0O4XSBfH,31.0,287080.0
Pranam Pothunna,2yyOgnukcQCppigRdL0IX1,59.0,231856.0
Roke Na Ruke Naina,2k7RoJQR0mi8WVWK0Och93,56.0,278401.0
Sadka,4dPeCbg2Op44s9kwyMS3ZT,52.0,343586.0
"Sab Tera (From ""Baaghi"")",2Rr8j88wr7SAYSwuekTJgx,52.0,228116.0
Kisi Ki Muskurahaton Se,20cqpJq6UspwjawaL6o1dF,36.0,269333.0
Mere Khwabon Mein,5wyzawAfi1y7Zgsx3jr7MD,37.0,256440.0
"Tere Mere (From ""Chef"")",4lBO4Q7Pa816Mk3ptYcYUz,53.0,343544.0
Chaar Kadam,0bYDMpQ94LnF38FiOlc8K9,52.0,242668.0
Toota Jo Kabhi Tara,4x723mcckl6ToQHuXPhrIX,58.0,305014.0
Valentine's Mashup 2021,1jkNF7kVO0tzNiGXzpC6fQ,54.0,198380.0
Chandaniya - Lori Lori,63awiUHspzokZiU5lizwjd,53.0,232613.0
Dhunki,3Kd0dzfRnf5DOExPHMdDt3,51.0,257619.0
"Ehsan Tera Hoga Mujh Par (From ""Junglee"") - Male Vocals",3zdhSUmDktbBJvIeb10haC,36.0,206893.0
