,ID,Popularity,Duration
Love Me Harder,5J4ZkQpzMUFojo1CtAZYpn,74.0,236133.0
Drive By,0KAiuUOrLTIkzkpfpn9jb9,74.0,195973.0
Ride Wit Me,3Gf5nttwcX9aaSQXRWidEZ,72.0,291781.0
Bottoms Up (feat. Nicki Minaj),4AYX69oFP3UOS1CFmV9UfO,68.0,242013.0
In The Night,25KybV9BOUlvcnv7nN3Pyo,72.0,235653.0
Belong to the City,5c3luoCub1Z1Gg74NdNtuq,72.0,98023.0
Remember When,5naar7XewEOAjOywIp6Jjq,71.0,155146.0
Bags,6UFivO2zqqPFPoQYsEMuCc,70.0,260519.0
Animals,2bL2gyO6kBdLkNSkxXNh6x,77.0,231013.0
Nobody,2P5yIMu2DNeMXTyOANKS6k,73.0,193429.0
Sweet Dreams (Are Made of This) - Remastered,1TfqLAPs4K3s2rJMoCokcS,78.0,216933.0
Hate It Or Love It,2wGSgTmgSF3xjRrHkTc25R,78.0,206400.0
Mirrors,4rHZZAmHpZrA3iH5zx8frV,74.0,484146.0
California Gurls,6KOEK6SeCEZOQkLj5M1PxH,67.0,234653.0
My House,6Knv6wdA0luoMUuuoYi2i1,72.0,192190.0
Down On Me,0x3TibRgnSqzkcwrqBd4iX,71.0,228453.0
Miss Independent,34ceTg8ChN5HjrqiIYCn9Q,72.0,232000.0
I'm Not Okay (I Promise),7lRlq939cDG4SzWOF4VAnd,72.0,186480.0
Paradise,6nek1Nin9q48AVZcWs9e9D,79.0,278719.0
Dear Reader,3QF5RsWzK1lCvf2o2cY65P,72.0,225194.0
Me & U,7k6IzwMGpxnRghE7YosnXT,71.0,192213.0
What Once Was,1XrSjpNe49IiygZfzb74pk,72.0,255067.0
The Scientist,62QNdNR9wpctKrQkt688RP,1.0,309600.0
This Love,6ECp64rv50XVz93WvxXMGF,76.0,206200.0
Say So,3Dv1eDb0MEgF93GpLXlucZ,75.0,237893.0
Paparazzi,7Hqig8kp32q2Ire3ECQvWM,67.0,208306.0
boyfriend (with Social House),0Ryd8975WihbObpp5cPW1t,76.0,186106.0
Cupid's Chokehold / Breakfast in America,2Lhdl74nwwVGOE2Gv35QuK,72.0,243773.0
Stuck In The Middle With You,3Vby4nGmtbDo7HDJamOWkT,74.0,208946.0
Lose You,00I5NjPGm836J2MQmYxhs9,69.0,190243.0
Hold On,5vjLSffimiIP26QG5WcN2K,78.0,198853.0
Adorn,25cUhiAod71TIQSNicOaW3,66.0,193146.0
Hot N Cold,1y4eb6hmAvsqlDOl3fx9kk,66.0,220226.0
Reflections,2xql0pid3EUwW38AsywxhV,75.0,244013.0
Save Your Tears (Remix) (with Ariana Grande) - Bonus Track,1oFAF1hdPOickyHgbuRjyX,78.0,191013.0
ocean eyes,7hDVYcQq6MxkdJGweuCtl9,76.0,200379.0
"Hold On, We're Going Home",2aSC2xhRxOLiiZZVjhbylH,68.0,227880.0
Fight Song,37f4ITSlgPX81ad2EvmVQr,73.0,204013.0
Sweet but Psycho,7DnAm9FOTWE3cUvso43HhI,77.0,187436.0
Feel So Close - Radio Edit,1gihuPhrLraKYrJMAEONyc,76.0,206413.0
Supermodel,5wTVNpi5WDByxBgKgUE6MU,70.0,181120.0
Line Without a Hook,5NvOZCjZaGGGL597exlQWv,77.0,249586.0
right where you left me - bonus track,3zwMVvkBe2qIKDObWgXw4N,72.0,245026.0
Dile,69Ej1xrGjOcHvIMtMKxK0G,79.0,204600.0
Juliet,45ROR8UMn60YEVQnDy0uVF,73.0,278991.0
Into It,4HwDCXsMBC7SUdp2WT4MZP,75.0,196767.0
Nights Like This (feat. Ty Dolla $ign),6ZRuF2n1CQxyxxAAWsKJOy,73.0,201787.0
Say It Right,2aI21FnmY7TJVKeMaoQZ0t,76.0,223080.0
"break up with your girlfriend, i'm bored",4kV4N9D1iKVxx1KLvtTpjS,74.0,190440.0
Hold My Hand,3oIJXzjH9m84LSbMekQ6aa,2.0,225300.0
Nothin' on You (feat. Bruno Mars),59dLtGBS26x7kc0rHbaPrq,73.0,268320.0
2 Be Loved (Am I Ready),2rmwqU7yzTvzkiaRV53DpT,77.0,187107.0
Money In The Grave (Drake ft. Rick Ross),5ry2OE6R2zPQFDO85XkgRb,73.0,205426.0
Bloody Mary,3Ru8l0xF4sKcdDmzCy6jsm,1.0,244760.0
Water Fountain,4IhKLu7Vk3j2TLmnFPl6To,74.0,218893.0
Bang Bang,0puf9yIluy9W0vpMEUoAnN,74.0,199386.0
Drew Barrymore,06u5LrUpbosQlQ1QJFhPpG,70.0,231400.0
Titanium (feat. Sia),0lHAMNU8RGiIObScrsRgmP,66.0,245040.0
Tia Tamera (feat. Rico Nasty),1uNePI826aqh9uC9pgbeHU,70.0,211013.0
"Happy - From ""Despicable Me 2""",60nZcImufyMA1MKQY3dcCH,77.0,232720.0
We Might Even Be Falling In Love (Interlude),4rCuwgRRKaIiHlHDc8Bga6,71.0,51913.0
LOKERA,79HZAZNnOE97rb2hnI0XQr,82.0,197101.0
Collard Greens,0zO8ctW0UiuOefR87OeJOZ,73.0,299960.0
Dirty Little Secret,5lDriBxJd22IhOH9zTcFrV,67.0,193653.0
enough for you,2TOzTqQXNmR2zDJXihjZ2e,73.0,202826.0
Sunshine,5r43qanLhUCdBj8HN3fa6B,77.0,163854.0
This Could Be Us,4jTiyLlOJVJj3mCr7yfPQD,75.0,206306.0
Emily I'm Sorry,2CuBUQZY5SmOaISKWUO9m9,70.0,214866.0
Paper Planes,1ixbwbeBi5ufN4noUKmW5a,73.0,205200.0
Super Freaky Girl,2yjlYDiNiQkdxVqTlaSrlX,73.0,170977.0
LoveGame,0TcJ7QWpggdSg8t0fHThHm,67.0,216333.0
It's Beginning to Look a Lot like Christmas,5a1iz510sv2W9Dt1MvFd5R,75.0,206639.0
Look What You Made Me Do,1P17dC1amhFzptugyAO7Il,75.0,211853.0
My Boo,68vgtRHr7iZHpzGpon6Jlo,74.0,223440.0
Summertime Sadness,2dBwB667LHQkLhdYlwLUZK,66.0,265427.0
Gimme More,6ic8OlLUNEATToEFU3xmaH,75.0,251240.0
Where do we go now?,4bYwK4mvWubnAkCextxH2d,73.0,243599.0
Stacy's Mom,27L8sESb3KR79asDUBu8nW,70.0,197986.0
IF YOU GO DOWN (I'M GOIN' DOWN TOO),1jX9wlAgVkAl0fCZqkCI73,68.0,166035.0
Stay,789CxjEOtO76BVD1A9yJQH,68.0,240706.0
Stacy's Mom,27L8sESb3KR79asDUBu8nW,70.0,197986.0
Sleep On The Floor,5MMZJtHOiH1RmQSSe3DJdg,67.0,211851.0
Bubblegum Bitch,6IbnUaczZBT34DhaD6S18F,73.0,154666.0
Fergalicious,1D066zixBwqFYqBhKgdPzp,66.0,292373.0
Hall of Fame (feat. will.i.am),1X1DWw2pcNZ8zSub3uhlNz,65.0,202533.0
679 (feat. Remy Boyz),5NQbUaeTEOGdD6hHcre0dZ,70.0,196693.0
"Farewell, Neverland",43mnNatwMMydJ4CxMdQVnJ,75.0,180676.0
