,ID,Popularity,Duration
Moonlight Drive,3T5xmnooZpmp5Nqz7rWzrL,43.0,180493.0
American Gigolo,4dV49dm1XBRvsm2EUZQad4,30.0,162000.0
Feel,3DbEbS7dExqASuAxOwbGfq,28.0,212906.0
Necrocomicon,48kEsmDHgw3r44pLVrToyq,33.0,100893.0
Dancing with Myself,7ghsa8hSWzpVVgQhiqMUSU,32.0,209866.0
Punk Rock Girls,0pIeyy1FqOrAkO0UjnHdKT,31.0,157880.0
Teacher Teacher,4Vb8fzZfCOI351qz1g0ExT,27.0,154226.0
No Other Love,3LAFsQgjXsuSIkgEKyvwCZ,35.0,233706.0
I Don't Think So,7LagVPEBG2Gu7Qwiqz0W8P,32.0,216533.0
O Holy Night,2IrtdNoHWXylIi6CGqdMqd,30.0,244306.0
Tailspin,7FmDlmB6pwVNfHzt2Xvp3T,33.0,198080.0
Trailer Trash,4ocTV4GJYwldjfrAamNVVB,32.0,110831.0
Getchoo,6R3QatE5PBeNgcTFYbHt9w,30.0,172586.0
Bask In The Shimmer,7c1oSGlJv50boZLmlQTNY7,33.0,209855.0
Eagle Beach,6EKTT0jPOQhtVbxy4Lemis,29.0,220922.0
New Amsterdam,0cUqdLp20Oz7zolsvB9oxS,36.0,131506.0
Life During Wartime,3WafGMVc8b3baPIP15KUsd,33.0,108739.0
Nights That Won’t Happen,4djPwQlldGMPqhKAonFMeO,32.0,368653.0
Letter From An Occupant,02A9aDbiRh1aRsnnq4MNp6,30.0,226026.0
Darkness and Cold,2Ets3Fh1aOQAC3uFtFbahb,31.0,238266.0
QB Blitz,6qp82sisFNqtPpc7eGBVOT,31.0,197453.0
Olde World,6xwyO7jsu0Q211VQwXtRzi,29.0,129487.0
Headwind,4Y8nzX8S2e6ft2fUuzpJGh,29.0,158773.0
Heart Of Glass - Single Version / Remastered,5lQOzJmQladWC4kLQClssB,37.0,252893.0
Use It,0IMZX10u38NefQy3LHhQJf,31.0,206773.0
Released into Dementia,5yajWgmzzdDXD5t9U84qFY,31.0,139397.0
61 Seconds,735dpb7NayIxOQfoeV1qzQ,34.0,258506.0
Out In The Streets - Remastered,2Sxny86sWlahqpFV5XqGhs,33.0,140640.0
Here Comes The Rain,3V7avwgec6ILm4pyqt8XL5,31.0,147285.0
You Won't Get With Me Tonight,2ywyHcaPWCOHopio9QsWmE,30.0,209360.0
Crush,4WgqQODh6GOGqIf7o7pkX4,30.0,191796.0
Happy Ending,1qv9TWDpXh50DPLgWD4bnH,49.0,218466.0
I Don't Mind - Remastered 2010,4OlDxRqGsnKKkXp7v12qmj,36.0,193933.0
Arrhythmic Palpitations,1vkCGTgrNUQ6LYWZwnUiC3,32.0,114720.0
